Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,92535,,,,,667149396.1073649,0,-166.61820382,11556795.160751916
2022-07-30T00:00:00Z,220,92535,34,37,47,170226.0008599149,667149396.1073649,140.9595936,-5850.192139660372,11556961.778955737
2022-07-29T00:00:00Z,289,92315,31,32,41,221776.66063512937,666979170.106505,0,-8589.17659278,11562671.011501798
2022-07-28T00:00:00Z,372,92026,28,30,39,430082.5665651441,666757393.4458699,19991.242606412747,-1537.6946188425543,11571260.188094579
2022-07-27T00:00:00Z,233,91654,28,28,39,118754.78964995725,666327310.8793048,265.21177284,-1443.1696032071966,11552806.640107008
2022-07-26T00:00:00Z,261,91421,28,28,40,223153.2840420883,666208556.0896548,26879.78191527945,-87.75616375,11553984.597937375
2022-07-25T00:00:00Z,258,91160,31,35,45,232568.3861290558,665985402.8056127,35152.18670055927,-8893.06,11527192.572185846
2022-07-24T00:00:00Z,124,90902,21,20,34,64065.56215277638,665752834.4194837,5954.972057999999,0,11500933.445485286
2022-07-23T00:00:00Z,198,90778,27,31,38,141741.9670826635,665688768.8573309,18619.330287599998,0,11494978.473427286
2022-07-22T00:00:00Z,228,90580,28,32,39,276880.4912173933,665547026.8902483,60050.4816954,-2699.1308843300003,11476359.143139686
2022-07-21T00:00:00Z,298,90352,25,27,33,295183.0773981253,665270146.3990309,79752.44185776,-8325.31603285588,11419007.792328617
2022-07-20T00:00:00Z,465,90054,28,30,36,271498.7096490438,664974963.3216327,3993.402,-8.76201463,11347580.666503713
2022-07-19T00:00:00Z,578,89589,36,37,45,1825560.238651247,664703464.6119837,80270.46964783034,-50209.66671153147,11343596.026518343
2022-07-18T00:00:00Z,484,89011,34,78,93,316091.93129942793,662877904.3733324,0,-328.4066446,11313535.223582044
2022-07-17T00:00:00Z,284,88527,31,32,43,174120.67554517192,662561812.4420329,0,0,11313863.630226644
2022-07-16T00:00:00Z,237,88243,34,34,43,230835.67308706697,662387691.7664877,0,-49994.58501111,11313863.630226644
2022-07-15T00:00:00Z,249,88006,28,27,34,216845.95257293733,662156856.0934006,0,-7.50598508,11363858.215237753
2022-07-14T00:00:00Z,269,87757,23,25,31,168128.80272520927,661940010.1408277,0,-110.46677088,11363865.721222833
2022-07-13T00:00:00Z,410,87488,32,35,41,612153.7573094978,661771881.3381025,0,-20554.408037870002,11363976.187993713
2022-07-12T00:00:00Z,222,87078,19,19,26,178890.39845509236,661159727.5807929,0,-38200.7,11384530.596031582
2022-07-11T00:00:00Z,199,86856,27,30,37,265360.0479702942,660980837.1823378,4297.317354269709,0,11422731.296031581
2022-07-10T00:00:00Z,150,86657,23,20,29,846777.6178138873,660715477.1343675,980.1364351230169,-51124.261699999995,11418433.978677312
2022-07-09T00:00:00Z,93,86507,29,31,38,1378576.4502178014,659868699.5165535,0,-347947.4,11468578.10394219
2022-07-08T00:00:00Z,267,86414,19,20,27,156188.89952544734,658490123.0663357,164.7607957049492,-35335.74,11816525.50394219
2022-07-07T00:00:00Z,241,86147,26,29,35,177457.39405878188,658333934.1668103,0,-15.392079590000002,11851696.483146485
2022-07-06T00:00:00Z,363,85906,27,27,34,297005.62567557674,658156476.7727515,269.8949988,-15.3435867,11851711.875226075
2022-07-05T00:00:00Z,374,85543,33,38,49,930327.1645999076,657859471.1470759,8.345021301149918,-132006.20120963,11851457.323813975
2022-07-04T00:00:00Z,266,85169,30,34,41,490948.1888603574,656929143.982476,0,-24118.79182929,11983455.180002304
2022-07-03T00:00:00Z,217,84903,36,35,43,1154796.7882974742,656438195.7936156,2790.326483455617,-137651.64,12007573.971831594
2022-07-02T00:00:00Z,202,84686,37,40,48,358164.0391641457,655283399.0053182,28311.7397724,-11352.943000000001,12142435.285348138
2022-07-01T00:00:00Z,353,84484,37,39,46,747810.7258111314,654925234.966154,477.7878334778331,-101250.24350000001,12125476.488575738
2022-06-30T00:00:00Z,397,84131,30,29,36,289299.7472032937,654177424.2403429,6916.658555390584,0,12226248.94424226
2022-06-29T00:00:00Z,453,83734,28,26,40,1316919.9462094079,653888124.4931395,3229.8131065063817,0,12219332.28568687
2022-06-28T00:00:00Z,425,83281,31,35,42,559193.341073735,652571204.5469301,8.7183710835281,-50080.310000000005,12216102.472580362
2022-06-27T00:00:00Z,314,82856,33,35,45,2564734.040730132,652012011.2058563,9.046682432219091,-92752.32999999999,12266174.064209279
2022-06-26T00:00:00Z,274,82542,31,34,43,592410.5151100437,649447277.1651262,94814.35908,-124472.709366,12358917.347526846
2022-06-25T00:00:00Z,261,82268,25,24,34,190959.45967973082,648854866.6500162,0,-8259.6533665,12388575.697812846
2022-06-24T00:00:00Z,421,82007,38,34,51,1107927.1278130398,648663907.1903365,13427.1090072,-602747.3081992599,12396835.351179346
2022-06-23T00:00:00Z,364,81586,30,30,39,595235.2496658327,647555980.0625235,16285.24703022286,-957.48625707,12986155.550371407
2022-06-22T00:00:00Z,270,81222,24,27,33,230116.18338538773,646960744.8128576,228.88672614692118,-114.45459068999999,12970827.789598254
2022-06-21T00:00:00Z,414,80952,27,30,37,813777.9158098589,646730628.6294723,51835.09496958643,-48840.23326163,12970713.357462797
2022-06-20T00:00:00Z,540,80538,30,34,40,830871.2798278922,645916850.7136624,60691.191558953135,-1662.73750551,12967718.495754842
2022-06-19T00:00:00Z,572,79998,34,31,46,2709758.3035202934,645085979.4338346,1028.6004176299566,-3066.45221038653,12908690.041701399
2022-06-18T00:00:00Z,1368,79426,39,38,48,14380266.973633923,642376221.1303142,4378.984226631504,-154123.97618333355,12910727.893494155
2022-06-17T00:00:00Z,273,78058,33,38,45,624491.2854105816,627995954.1566803,0,-70218.4,13060472.885450857
2022-06-16T00:00:00Z,394,77785,37,39,51,318538.1922052477,627371462.8712698,18.100019329547777,-54686.33,13130691.285450857
2022-06-15T00:00:00Z,834,77391,39,38,52,1020523.764731015,627052924.6790646,3518.753085382536,-107269.54237219002,13185359.515431527
2022-06-14T00:00:00Z,776,76557,45,46,57,1354195.8891558675,626032400.9143336,713.2549435131344,-271395.99406518,13289110.304718334
2022-06-13T00:00:00Z,1203,75781,48,49,60,904886.9818504564,624678205.0251777,14107.62907735523,-160.63282067,13559793.04384
2022-06-12T00:00:00Z,523,74578,40,36,47,986070.7468120301,623773318.0433272,1110.5827149197653,-19100.000000000004,13545846.047583316
2022-06-11T00:00:00Z,353,74055,30,33,43,257822.84504998702,622787247.2965152,195.09904954819092,-11900.000000000002,13563835.464868397
2022-06-10T00:00:00Z,203,73702,31,30,38,4391861.066048101,622529424.4514652,970.125290628102,-94042.1594,13575540.365818849
2022-06-09T00:00:00Z,353,73499,66,64,77,2054321.357904635,618137563.3854171,34274.0062493699,-89474.70244216366,13668612.399928221
2022-06-08T00:00:00Z,394,73146,38,40,48,784981.0576732103,616083242.0275124,19991.924907823795,-76001,13723813.096121015
2022-06-07T00:00:00Z,507,72752,38,48,54,648643.4517854477,615298260.9698392,776.1308691357797,-46548.6847197,13779822.171213191
2022-06-06T00:00:00Z,295,72245,37,36,48,531382.545849237,614649617.5180538,15600.852888554798,-53385.06370888,13825594.725063756
2022-06-05T00:00:00Z,197,71950,21,21,28,166498.62510136658,614118234.9722046,0,-10021.8086071,13863378.93588408
2022-06-04T00:00:00Z,235,71753,32,35,39,1052088.8467116423,613951736.3471032,11.814292865723273,-142478.86139326,13873400.74449118
2022-06-03T00:00:00Z,210,71518,30,32,40,272322.53392076213,612899647.5003916,1711.9046716506025,-10517.8515,14015867.791591575
2022-06-02T00:00:00Z,222,71308,32,29,39,1142209.8114680483,612627324.9664708,0,0,14024673.738419924
2022-06-01T00:00:00Z,316,71086,37,47,52,1359149.5474254815,611485115.1550028,144.05704990271946,-206789.01630000002,14024673.738419924
2022-05-31T00:00:00Z,374,70770,40,39,47,1967925.563462774,610125965.6075773,23.002518691651915,-50284.91576862177,14231318.697670022
2022-05-30T00:00:00Z,331,70396,30,28,39,275770.09301420656,608158040.0441146,30265.26390340287,-21.5785376,14281580.610919952
2022-05-29T00:00:00Z,251,70065,31,36,42,10189104.550960502,607882269.9511003,143594.06199095998,-4431152.991593299,14251336.925554149
2022-05-28T00:00:00Z,350,69814,27,28,35,10224286.800507339,597693165.4001398,5000000,-156.73141563,18538895.85515649
2022-05-27T00:00:00Z,704,69464,33,35,41,575173.3622821379,587468878.5996325,1921.4066684008349,-72384.65115173999,13539052.58657212
2022-05-26T00:00:00Z,522,68760,29,32,41,466259.3762503099,586893705.2373503,496.97351771174095,-40152.196504980006,13609515.831055459
2022-05-25T00:00:00Z,371,68238,39,36,49,992695.761910319,586427445.8611001,142085.53784090315,-50160.873999999996,13649171.054042727
2022-05-24T00:00:00Z,306,67867,33,33,41,1430502.7398936443,585434750.0991898,3964.262149394846,0,13557246.390201824
2022-05-23T00:00:00Z,526,67561,38,37,54,578180.3753719192,584004247.3592961,306.36430728421,-34313.183000000005,13553282.128052428
2022-05-22T00:00:00Z,451,67035,33,35,40,645994.2287212723,583426066.9839242,22123.555258642627,-50210.39718540894,13587288.946745144
2022-05-21T00:00:00Z,219,66584,35,32,46,698443.4554918143,582780072.7552029,0,-34660.64777212,13615375.78867191
2022-05-20T00:00:00Z,434,66365,26,33,38,456966.59322672803,582081629.2997111,14434.885063968979,-22093.474540923384,13650036.436444031
2022-05-19T00:00:00Z,562,65931,39,38,47,6947009.680319184,581624662.7064844,22.203151591742206,-107.26340755000001,13657695.025920985
2022-05-18T00:00:00Z,719,65369,32,36,42,621336.8011803556,574677653.0261652,166.86715197831373,-36637.516,13657780.086176943
2022-05-17T00:00:00Z,720,64650,39,40,48,1167059.8105241812,574056316.2249849,15519.490217484361,-36348.08043398,13694250.735024964
2022-05-16T00:00:00Z,1464,63930,40,44,50,2148420.7200307604,572889256.4144607,56405.81321659095,-126822.03304530303,13715079.32524146
2022-05-15T00:00:00Z,1238,62466,39,39,47,1494497.7275887353,570740835.6944299,56175.13026979659,-668.45393251,13785495.545070171
2022-05-14T00:00:00Z,1324,61228,50,47,58,3270802.2833696897,569246337.9668411,120412.2393154222,-230908.39495040977,13729988.868732885
2022-05-13T00:00:00Z,2183,59904,55,64,74,15340312.446852928,565975535.6834714,204376.2224830394,-3861260.2775755646,13840485.024367873
2022-05-12T00:00:00Z,2414,57721,83,96,113,34434110.71063055,550635223.2366185,680821.9606159917,-3924249.9501651963,17497369.079460397
2022-05-11T00:00:00Z,2156,55307,92,103,115,14609549.58861592,516201112.5259879,120901.12212297798,-489653.93897491856,20740797.069009602
2022-05-10T00:00:00Z,1355,53151,75,75,86,11786112.410670556,501591562.937372,45215.4575081491,-123198.25909039,21109549.885861542
2022-05-09T00:00:00Z,641,51796,71,81,87,10928961.834588123,489805450.52670145,21386.83914900703,-567295.6719435793,21187532.68744378
2022-05-08T00:00:00Z,236,51155,40,41,48,3048239.958871615,478876488.69211334,14941.25947941159,0,21733441.520238355
2022-05-07T00:00:00Z,181,50919,44,47,54,6470712.239498695,475828248.73324174,50245.88710594861,-12601.035500000002,21718500.260758944
2022-05-06T00:00:00Z,153,50738,48,52,62,1689756.2391503754,469357536.49374306,35947.77184152397,0,21680855.409152996
2022-05-05T00:00:00Z,216,50585,51,52,63,4296205.814031807,467667780.25459266,26584.207101298955,-753093.334314,21644907.637311473
2022-05-04T00:00:00Z,206,50369,44,46,53,2009719.7366242835,463371574.4405609,108528.39677239978,-831.43690974,22371416.764524173
2022-05-03T00:00:00Z,213,50163,41,38,48,1605959.1389542627,461361854.7039366,67148.87397079906,0,22263719.804661512
2022-05-02T00:00:00Z,175,49950,42,41,52,781138.6976591398,459755895.5649823,10213.53807136373,0,22196570.930690713
2022-05-01T00:00:00Z,192,49775,44,46,57,1777954.01070877,458974756.86732316,96474.02504845308,-42619.83411951,22186357.39261935
2022-04-30T00:00:00Z,184,49583,46,48,55,2323456.8339939127,457196802.8566144,18176.88734571219,-16721.455442,22132503.201690406
2022-04-29T00:00:00Z,197,49399,58,58,70,3425434.576580462,454873346.0226205,43768.77030019436,-608098.7753,22131047.769786693
2022-04-28T00:00:00Z,101,49202,48,50,59,2325601.204615009,451447911.44604003,249154.46713248,-87882.8461,22695377.7747865
2022-04-27T00:00:00Z,82,49101,38,35,45,320021.70761416334,449122310.24142504,39983.042583120005,0,22534106.15375402
2022-04-26T00:00:00Z,126,49019,43,42,50,762013.1476415582,448802288.53381085,367.7840028158211,-525.87823945,22494123.1111709
2022-04-25T00:00:00Z,157,48893,42,46,52,1069438.8736878517,448040275.3861693,28956.366745985826,-30000,22494281.205407534
2022-04-24T00:00:00Z,90,48736,44,42,54,323700.5598233196,446970836.51248145,31607.1055986,-4603.2601,22495324.838661548
2022-04-23T00:00:00Z,65,48646,40,38,48,1047176.3056572595,446647135.9526581,49311.74777239961,-86.3264,22468320.99316295
2022-04-22T00:00:00Z,97,48581,45,47,57,1765845.8891022922,445599959.64700085,19968.0135984,0,22419095.57179055
2022-04-21T00:00:00Z,146,48484,40,39,48,865966.492971319,443834113.75789857,88917.05704476,-102579.55736874323,22399127.55819215
2022-04-20T00:00:00Z,174,48338,47,51,59,2900537.653883952,442968147.26492727,98409.22568634394,0,22412790.058516134
2022-04-19T00:00:00Z,165,48164,60,64,70,8549617.822387423,440067609.61104333,503653.752882,-372.60482966999996,22314380.83282979
2022-04-18T00:00:00Z,221,47999,50,54,60,4250996.9188945005,431517991.78865594,153048.82502169628,-340.00669609000005,21811099.684777457
2022-04-17T00:00:00Z,153,47778,60,66,72,1859664.2139151627,427266994.8697614,164087.74788324125,-427.16304635,21658390.866451852
2022-04-16T00:00:00Z,90,47625,52,52,61,4129185.5875776233,425407330.65584624,400847.49603003816,0,21494730.28161496
2022-04-15T00:00:00Z,182,47535,79,76,87,11160386.85397184,421278145.0682686,948488.0775495578,-468.18097215,21093882.785584923
2022-04-14T00:00:00Z,225,47353,82,87,98,5814250.8664858965,410117758.21429676,506824.06934796,-99656.69999535999,20145862.889007516
2022-04-13T00:00:00Z,256,47128,72,80,92,9347626.609815245,404303507.34781086,845246.5270398596,-46966.965561820005,19738695.519654915
2022-04-12T00:00:00Z,187,46872,56,60,66,3676673.6794289057,394955880.7379956,54974.26621100032,-28109.29009683636,18940415.958176874
2022-04-11T00:00:00Z,231,46685,66,67,76,8085188.973215227,391279207.0585667,1243329.940894861,-101650.5532,18913550.98206271
2022-04-10T00:00:00Z,200,46454,71,74,84,8634946.776523886,383194018.08535147,968156.3596101664,0,17771871.594367847
2022-04-09T00:00:00Z,385,46254,127,131,143,12465564.55607585,374559071.3088276,1803016.162422376,0,16803715.23475768
2022-04-08T00:00:00Z,379,45869,95,97,109,3369908.3246862143,362093506.7527517,68693.9016119411,-96549.72816187104,15000699.072335305
2022-04-07T00:00:00Z,343,45490,106,108,118,8501716.105074218,358723598.4280655,1381052.2944766171,-21305.21769261,15028554.898885235
2022-04-06T00:00:00Z,669,45147,195,197,207,16418548.88412912,350221882.32299125,1262238.7625836465,-120598.7077,13668807.822101228
2022-04-05T00:00:00Z,147,44478,27,26,34,654227.860050952,333803333.43886214,58152.00205376061,-81237.58381442999,12527167.767217582
2022-04-04T00:00:00Z,175,44331,25,23,28,651689.579099999,333149105.57881117,28466.847550216437,-151992.19282484002,12550253.348978251
2022-04-03T00:00:00Z,307,44156,25,28,30,1575128.8618551604,332497415.99971116,179172.23378738406,-185810.91338315,12673778.694252875
2022-04-02T00:00:00Z,491,43849,24,24,29,2260150.7784355073,330922287.137856,374129.97572805407,-106373.21615816,12680417.373848641
2022-04-01T00:00:00Z,171,43358,27,25,34,461740.701633583,328662136.3594205,82489.78905399799,-5006.94827877,12412660.614278747
